Speed_Bin,avg_power_kW,avg_speed,n,Wh_per_km
5,0.882279069767442,7.511627906976744,43,117.45510835913315
10,1.1986290322580644,13.03763440860215,186,91.9360824742268
15,1.6254463840399003,17.134663341645886,401,94.86304759132585
20,1.9303141025641026,21.294871794871796,156,90.64689945815773
25,2.406017857142857,26.785714285714285,56,89.82466666666666
30,2.7869591836734697,31.448979591836736,49,88.61842959117457
35,3.192327272727273,37.03636363636364,55,86.19440353460972
40,3.5934044943820225,42.46067415730337,89,84.62900238158242
45,3.8887482014388484,46.985611510791365,139,82.76466084826212
50,4.254314917127071,52.06629834254144,181,81.7095713073005
55,4.570871287128713,56.995049504950494,202,80.19768956831409
60,4.901268398268398,61.97402597402598,231,79.08584800223524
65,5.3117521008403354,67.02941176470588,238,79.24509496646398
70,5.655542713567839,72.05025125628141,199,78.49442042125818
75,5.968736694677871,77.61624649859944,357,76.90060991013749
80,6.132443037974684,80.0,79,76.65553797468355
