session,start_s,reach_s,elapsed_s,target
2,831.0,834.0,3.0,30
2,883.0,885.0,2.0,30
2,919.0,919.0,0.0,30
2,949.0,950.0,1.0,30
2,961.0,963.0,2.0,30
2,1069.0,1074.0,5.0,30
2,1181.0,1185.0,4.0,30
2,1293.0,1298.0,5.0,30
2,1393.0,1398.0,5.0,30
2,1423.0,1427.0,4.0,30
2,1452.0,1453.0,1.0,30
2,1623.0,1627.0,4.0,30
2,1684.0,1685.0,1.0,30
2,1720.0,1728.0,8.0,30
2,1923.0,1925.0,2.0,30
2,1967.0,1978.0,11.0,30
3,2751.0,2751.0,0.0,30
3,2901.0,2905.0,4.0,30
3,3510.0,3510.0,0.0,30
2,831.0,836.0,5.0,50
2,883.0,886.0,3.0,50
2,919.0,919.0,0.0,50
2,949.0,951.0,2.0,50
2,961.0,964.0,3.0,50
2,1069.0,1079.0,10.0,50
2,1293.0,1302.0,9.0,50
2,1393.0,1403.0,10.0,50
2,1452.0,1461.0,9.0,50
2,1623.0,1630.0,7.0,50
2,1684.0,1687.0,3.0,50
2,1923.0,1926.0,3.0,50
3,2751.0,2751.0,0.0,50
3,2901.0,2908.0,7.0,50
3,3510.0,3510.0,0.0,50
2,831.0,837.0,6.0,60
2,883.0,887.0,4.0,60
2,919.0,919.0,0.0,60
2,949.0,952.0,3.0,60
2,961.0,965.0,4.0,60
2,1069.0,1080.0,11.0,60
2,1293.0,1304.0,11.0,60
2,1393.0,1414.0,21.0,60
2,1452.0,1464.0,12.0,60
2,1623.0,1632.0,9.0,60
2,1684.0,1688.0,4.0,60
2,1923.0,1927.0,4.0,60
3,2751.0,2751.0,0.0,60
3,2901.0,2910.0,9.0,60
3,3510.0,3510.0,0.0,60
