LoRa_Datetime,Session_ID,Elapsed_s,Speed_Kmph,RPM,Accel_m_s2,Pack_Current_A,Pack_Voltage_V,Pack_Power_kW,IMU_G_Magnitude,IMU_Vibration,Drive_State,Anomaly_Score
2026-02-24 21:20:02+05:30,3,3665.0,20,392.0,-1.528,34.04,72.62,2.472,1.262,0.3182,decel,-0.085
2019-01-14 13:12:04+05:30,3,2703.0,18,0.0,0.0,102.36,73.48,7.521,1.042,0.0,cruise,-0.076
2026-02-24 21:01:40+05:30,3,2601.0,0,0.0,0.0,1.0,75.62,0.076,1.237,0.7142,idle,-0.064
2026-02-24 21:01:40+05:30,3,2601.0,0,0.0,0.0,1.0,75.62,0.076,1.237,0.7142,idle,-0.064
2019-01-01 07:05:56+05:30,1,126.0,10,2189.92,0.833,16.51,79.84,1.318,0.162,0.1585,accel,-0.056
2021-09-14 22:08:52+05:30,3,2703.0,18,0.0,0.0,83.88,73.86,6.195,0.811,0.0,cruise,-0.054
2026-02-24 21:20:03+05:30,3,3666.0,17,341.96,-0.278,25.2,72.8,1.835,0.617,0.3954,decel,-0.053
2026-02-24 21:20:01+05:30,3,3664.0,28,542.24,-2.083,41.24,72.48,2.989,1.002,0.1367,decel,-0.052
2019-01-01 07:05:57+05:30,1,127.0,13,2272.78,0.833,18.93,79.79,1.51,0.129,0.1823,accel,-0.051
2026-02-24 21:20:00+05:30,3,3663.0,35,670.92,-2.639,45.84,72.39,3.318,1.058,0.1559,decel,-0.043
2019-01-01 07:05:37+05:30,1,107.0,1,32.62,0.556,4.01,80.11,0.321,0.541,0.1229,accel,-0.04
2019-01-01 07:05:58+05:30,1,128.0,16,2332.64,0.833,21.5,79.73,1.714,0.214,0.1707,accel,-0.036
2019-12-05 08:11:03+05:30,3,2708.0,18,0.0,0.0,74.6,74.03,5.523,0.695,0.0,cruise,-0.035
2019-01-01 07:05:55+05:30,1,125.0,7,2126.06,0.833,61.59,78.94,4.862,0.108,0.1323,accel,-0.032
2026-02-24 21:17:01+05:30,3,3499.0,0,0.0,-9.722,1.0,73.56,0.074,0.153,0.1285,idle,-0.032
2019-01-01 07:05:59+05:30,1,129.0,19,2379.04,0.833,21.04,79.74,1.678,0.034,0.13,accel,-0.031
2026-02-24 20:59:38+05:30,3,2479.0,15,2407.06,-0.139,19.76,75.35,1.489,0.196,0.0068,cruise,-0.024
2019-01-01 07:26:00+05:30,2,1206.0,12,2154.58,-0.417,15.4,77.73,1.197,0.118,0.0106,decel,-0.023
2026-02-24 20:59:39+05:30,3,2480.0,15,2392.1,-0.139,19.2,75.36,1.447,0.191,0.003,cruise,-0.022
2019-01-01 07:05:38+05:30,1,108.0,4,81.32,0.694,7.48,80.04,0.599,0.581,0.1098,accel,-0.02
2026-02-24 20:59:35+05:30,3,2476.0,17,2450.4,-0.139,71.5,74.32,5.314,0.219,0.0072,cruise,-0.019
2026-02-24 20:59:36+05:30,3,2477.0,17,2436.46,-0.139,19.6,75.36,1.477,0.215,0.0089,cruise,-0.019
2019-01-01 07:25:59+05:30,2,1205.0,13,2182.34,-0.278,15.36,77.73,1.194,0.12,0.0186,decel,-0.019
2026-02-24 20:59:37+05:30,3,2478.0,16,2420.62,-0.278,19.96,75.35,1.504,0.205,0.0115,decel,-0.018
2026-02-24 21:19:59+05:30,3,3662.0,47,917.72,-2.5,52.56,72.26,3.798,0.748,0.2439,decel,-0.015
2019-01-01 07:05:36+05:30,1,106.0,0,0.96,0.139,1.0,80.17,0.08,0.35,0.2207,idle,-0.012
2019-01-01 07:25:57+05:30,2,1203.0,16,2241.62,-0.556,17.0,77.7,1.321,0.084,0.0298,decel,-0.011
2019-01-01 07:25:58+05:30,2,1204.0,14,2210.6,-0.417,15.0,77.74,1.166,0.084,0.0206,decel,-0.011
2019-01-01 07:05:39+05:30,1,109.0,6,131.66,0.556,9.25,80.0,0.74,0.374,0.1966,accel,-0.008
2019-01-01 07:30:43+05:30,2,1435.0,13,2327.62,-0.556,15.04,77.18,1.161,0.045,0.0017,decel,-0.007
2026-02-24 21:19:58+05:30,3,3661.0,53,1031.7,-1.528,55.04,72.21,3.974,1.23,0.2652,decel,-0.006
2019-01-01 07:16:35+05:30,2,678.0,15,2142.56,-0.278,61.48,78.51,4.827,0.01,0.004,decel,-0.005
2019-01-01 07:30:42+05:30,2,1434.0,15,2364.0,-0.556,16.8,77.15,1.296,0.045,0.0346,decel,-0.002
2026-02-24 21:00:57+05:30,3,2558.0,15,2260.58,-0.278,16.0,75.35,1.206,0.008,0.0065,decel,-0.002
2026-02-24 21:00:16+05:30,3,2517.0,16,2280.64,0.0,67.32,74.37,5.007,0.045,0.017,cruise,-0.002
2019-01-01 07:21:27+05:30,2,943.0,38,1557.06,-10.694,40.84,78.2,3.194,0.049,0.005,decel,-0.001
2019-01-01 07:36:01+05:30,2,1683.0,0,0.0,-6.667,7.64,76.57,0.585,0.088,0.0624,idle,-0.001
